increment,displacement_mm,reaction_force_N,nominal_stress_MPa,nominal_strain_pct
0,0.0000,0.0000,0.000000,0.00
1,3.0480,357491.3590,15.392020,2.00
2,6.0960,11925.6553,0.513467,4.00
3,9.1440,353982.5290,15.240945,6.00
4,12.1920,22097.7160,0.951431,8.00
5,15.2400,34379.5840,1.480235,10.00
6,18.2880,33775.6133,1.454231,12.00
7,21.3360,40138.0317,1.728169,14.00
8,24.3840,48192.2943,2.074950,16.00
9,27.4320,54418.5952,2.343028,18.00
10,30.4800,63119.3080,2.717642,20.00
11,33.5280,71703.9352,3.087259,22.00
12,36.5760,80719.6897,3.475438,24.00
13,39.6240,90829.3587,3.910716,26.00
14,42.6720,133129.5887,5.731980,28.00
15,45.7200,114347.3342,4.923298,30.00
