index,name,equation,active_terms,isovalue_t,freq,wall_half_iso,n_vertices,n_elements,energy_absorbed_J,energy_recovered_J,hysteresis_loss_pct,volumetric_energy_J_per_cm3,peak_stress_MPa,peak_force_N,solve_time_sec
1,KimSurface_001_20260406,+0.151*P +0.148*N -1.000*P2 -0.573*CC2  [t=-0.180 f=0.945],P+N+P2+CC2,-0.1804,0.9446,0.3646,9236,36490,5100.024553,5100.024553,0.0,1.440845,26113.7548,220126.53,334.8
2,KimSurface_002_20260406,-0.791*P -1.000*P2 +0.905*G2 -0.877*CSC -0.083*L  [t=0.017 f=0.967],P+P2+G2+CSC+L,0.0173,0.9668,0.3497,9261,35445,3721.015441,3721.015441,0.0,1.051251,120659.8803,202014.63,361.2
3,KimSurface_003_20260406,-0.652*IWP -0.808*P2 -1.000*CC2  [t=0.126 f=1.015],IWP+P2+CC2,0.1262,1.0147,0.3391,9254,36980,5897.049114,5897.049114,0.0,1.666019,3827.8468,225808.61,385.4
4,KimSurface_004_20260406,-0.788*P -0.322*D -0.785*N -0.238*SS -1.000*P2 -0.018*CSC -0.372*L  [t=0.058 f=1.011],P+D+N+SS+P2+CSC+L,0.0576,1.0111,0.3358,9198,34450,4842.211734,4842.211734,0.0,1.368009,847.2569,191510.09,304.5
5,KimSurface_005_20260406,-1.000*P -0.209*P2 +0.622*SS2  [t=0.058 f=1.025],P+P2+SS2,0.0578,1.0253,0.3377,8816,30330,3855.054932,3855.054932,0.0,1.089120,7792.0271,139945.03,327.6
6,KimSurface_006_20260406,+0.467*P2 -0.028*G2 +1.000*SS2  [t=0.081 f=0.971],P2+G2+SS2,0.0809,0.9714,0.3111,9260,38715,4511.588759,4511.588759,0.0,1.274602,1043.3856,251074.82,310.3
7,KimSurface_007_20260406,+0.797*P -0.260*IWP +0.335*N +0.412*SS +1.000*P2 -0.678*CC2  [t=0.130 f=0.993],P+IWP+N+SS+P2+CC2,0.1296,0.9928,0.3721,9238,33140,3877.487919,3877.487919,0.0,1.095458,7445.7838,169386.44,348.3
8,KimSurface_008_20260406,+1.000*P -0.799*D -0.438*N -0.592*CC2  [t=-0.037 f=1.041],P+D+N+CC2,-0.0365,1.0411,0.3501,8581,27665,4428.978468,4428.978468,0.0,1.251263,3801.0252,114347.33,375.3
9,KimSurface_009_20260406,-0.416*D -1.000*P2 -0.450*G2  [t=0.050 f=0.984],D+P2+G2,0.0497,0.9837,0.3372,9260,38305,4418.453041,4418.453041,0.0,1.248290,1589.5848,244826.37,289.3
10,KimSurface_010_20260406,-0.203*P -0.432*IWP -0.493*SS -1.000*CC2 -0.751*L  [t=0.107 f=1.002],P+IWP+SS+CC2+L,0.1067,1.0022,0.3611,9247,38865,4648.465248,4648.465248,0.0,1.313272,4399.8121,253679.07,2232.2
